iter	RMSE
0	75533622.99
1	73432873.87
2	71262193.4
3	69221791.19
4	67379532.67
5	65534866.11
6	63816879.71
7	62088079.62
8	60413538.84
9	58842734.24
10	57355909.14
11	56004473.98
12	54602959.63
13	53255438.86
14	52055344.26
15	51085624.79
16	49934724.85
17	48930524.88
18	47809937.86
19	46862766.07
20	46038485.25
21	45063994.18
22	44117084.58
23	43422554.07
24	42608814.7
25	41732486.96
26	41330738.73
27	40509515.94
28	39841759.92
29	39303696.43
30	39038877.41
31	38852711.74
32	38229739.18
33	37678170.96
34	37001475.08
35	36374714.53
36	35999105.07
37	35536859.74
38	35103772.92
39	34655541.38
40	34501918.15
41	34024583.54
42	33723401.51
43	33533341.16
44	33339780.5
45	33114693.02
46	32730090.48
47	32240550.48
48	32115825.94
49	32000189.72
50	31672472.41
51	31316654.12
52	30974076.65
53	30676441.24
54	30354894.67
55	30057720.76
56	29829007.52
57	29670832.41
58	29519827.13
59	29351031.58
60	29033440.8
61	28706489.56
62	28444711.75
63	28145643.3
64	27911185.51
65	27723796.37
66	27547755.11
67	27343871.33
68	27088795.99
69	26918963.51
70	26774757.74
71	26559894.33
72	26363538.61
73	26189236.33
74	26121550.57
75	25871374.74
76	25679979.43
77	25532407.39
78	25439617.79
79	25335340.93
80	25225517.22
81	25068573.87
82	24995337
83	24838306.66
84	24665982.57
85	24500624.81
86	24339263.33
87	24236660.48
88	24143497.42
89	24080715.59
90	23963784.2
91	23877009.46
92	23693980.28
93	23497135.84
94	23343561.17
95	23252575.11
96	23119911.3
97	23052390.22
98	22956718.13
99	22891137.21
100	22720172.93
101	22664415.08
102	22596201.25
103	22500081.28
104	22422928.76
105	22382924.03
106	22304179.55
107	22191596.91
108	22131071.41
109	22042367.52
110	21975798
111	21881928.81
112	21801536.94
113	21718938.51
114	21633916.15
115	21458733.88
116	21383217.27
117	21246281.31
118	21185709.56
119	21129458.58
120	21087313.87
121	21023074.22
122	20949406.76
123	20908951.45
124	20779482.42
125	20669471.35
126	20602705.98
127	20587520.08
128	20547788.75
129	20487465.5
130	20389697.25
131	20278971.3
132	20145752.45
133	20118456.88
134	20099843.54
135	20071244.37
136	19970010.98
137	19887015.66
138	19825789.09
139	19742264.43
140	19656671.7
141	19508895.65
142	19454922.46
143	19416292.63
144	19379220.53
145	19324445.21
146	19227241.02
147	19180872.98
148	19095247.84
149	18974030.22
150	18947906.73
151	18828888.36
152	18753523.15
153	18694349.23
154	18653613.63
155	18603980.11
156	18537884.63
157	18451397.74
158	18407643.61
159	18382077.97
160	18314811.17
161	18219027.9
162	18186103.31
163	18152030
164	18105185.61
165	18017851.14
166	18010249.24
167	18002374.34
168	17959215.74
169	17945758.89
170	17870925.28
171	17862083.25
172	17823803.37
173	17766981.69
174	17759725.82
175	17725235.62
176	17637873.12
177	17590824.51
178	17559481.11
179	17519827.32
180	17418403.58
181	17399469
182	17362746.39
183	17341451.75
184	17293595.36
185	17286375.98
186	17269443.28
187	17262998.75
188	17219523.52
189	17193374.85
190	17130910.23
191	17059204.12
192	17003967.6
193	16988481.86
194	16969554.28
195	16962974.67
196	16920431.36
197	16913931.02
198	16899494.4
199	16823649.81
200	16749093.35
201	16720165.27
202	16714984.16
203	16626477.92
204	16579662.18
205	16566553.98
206	16557707.09
207	16523081.75
208	16511489.19
209	16491807.12
210	16486947.01
211	16438484.36
212	16364052.27
213	16326360.1
214	16292307.9
215	16235288.61
216	16220711.18
217	16183400.3
218	16169030.02
219	16101003.91
220	16049535.4
221	16002050.43
222	15990258.13
223	15984056.89
224	15978086.07
225	15951036.7
226	15919344.8
227	15856418.24
228	15846218.63
229	15770435.18
230	15760611.15
231	15711014.17
232	15701537.83
233	15648538.32
234	15638523.71
235	15610834.89
236	15537395.68
237	15494869.53
238	15463601.97
239	15451044.24
240	15442636.9
241	15421051.81
242	15397636.48
243	15352841.27
244	15339833.72
245	15313448.63
246	15270925.48
247	15258557.3
248	15212238.02
249	15185660.3
250	15125946.99
251	15122142.1
252	15117410.33
253	15113822.15
254	15091771.11
255	15021229.94
256	15017734.29
257	14984234.26
258	14972940.14
259	14962073.46
260	14945458.93
261	14938827.34
262	14900430.74
263	14846522.42
264	14801810.13
265	14779013.07
266	14775835.07
267	14771704.07
268	14767678.52
269	14763797.2
270	14760036.6
271	14683781.84
272	14677575.9
273	14651596.13
274	14631277.65
275	14591152.79
276	14572598.51
277	14551722.84
278	14509923.32
279	14487131.7
280	14458454.41
281	14386746.43
282	14365914.46
283	14346726.41
284	14317442.38
285	14238153.77
286	14232335.72
287	14157481.3
288	14112943.74
289	14063698.68
290	14044150.21
291	14038815.25
292	14004589.56
293	13993893.14
294	13970594.49
295	13965602.36
296	13958843.13
297	13919925.95
298	13872103.68
299	13811361.37
300	13798153.5
301	13744412.9
302	13705151.09
303	13684311.59
304	13662622.56
305	13656223.89
306	13644723.92
307	13589018.93
308	13571544.03
309	13536383.43
310	13531023.89
311	13522688.38
312	13514603.3
313	13491460.62
314	13435143.15
315	13422028.38
316	13399933.2
317	13359995.1
318	13341086.34
319	13307429.1
320	13273632.94
321	13236594.56
322	13228466.49
323	13217678.55
324	13160890.41
325	13124943.06
326	13087877.72
327	13070027.09
328	13050574.6
329	13031265.43
330	13013382.43
331	12964928.74
332	12951122.15
333	12931754.66
334	12902415.41
335	12869778.25
336	12852019.62
337	12822210.14
338	12792146.56
339	12762468.82
340	12714408.14
341	12657059.18
342	12644438.92
343	12595642.62
344	12568675.44
345	12551380.86
346	12524135.89
347	12494850.21
348	12468166.87
349	12434358.99
350	12396710.99
351	12382065.01
352	12344828.82
353	12313271.7
354	12264303.58
355	12235857.74
356	12223323.86
357	12172259.69
358	12137775.18
359	12083323.99
360	12064126.68
361	12039061.84
362	12000421.46
363	11973307.26
364	11967233.37
365	11939316.55
366	11914388.3
367	11891390.03
368	11863253.42
369	11856530.38
370	11841197.74
371	11826652.71
372	11774147.72
373	11747862.16
374	11727735.34
375	11692896.98
376	11676191.25
377	11663287.63
378	11647669.21
379	11627607.55
380	11597121.48
381	11579491.7
382	11538854.89
383	11531291.36
384	11508426.45
385	11490682.16
386	11466046.71
387	11437004.58
388	11411275.06
389	11403841.18
390	11385408.5
391	11355884.42
392	11343395.87
393	11322561.57
394	11277310.62
395	11251994.5
396	11239302.6
397	11221752.64
398	11179845.75
399	11155350.73
400	11136432.56
401	11127093.63
402	11113456.96
403	11093616.67
404	11072150.02
405	11054759.14
406	11043092.31
407	11031768.95
408	10988541.09
409	10947174.7
410	10931752.25
411	10914017.31
412	10901078.21
413	10880052.72
414	10867586.51
415	10854986.29
416	10818169.59
417	10809001.19
418	10785676.83
419	10750010.9
420	10708690.79
421	10692778.49
422	10658118.26
423	10649622.39
424	10640023.07
425	10621479.66
426	10598404.24
427	10579948.47
428	10578013.8
429	10557678.77
430	10549005.32
431	10527860.03
432	10495656.9
433	10481385.91
434	10460680.42
435	10421353.58
436	10400224.99
437	10382670.68
438	10365200.03
439	10358487.07
440	10354472.2
441	10348772.47
442	10323879
443	10300838.59
444	10283762.7
445	10263049.42
446	10259140.32
447	10255446.26
448	10222330.32
449	10206414.14
450	10182156.29
