iter	Passed	Remaining
0	3	3006
1	5	2897
2	8	2895
3	11	2898
4	14	2829
5	16	2785
6	19	2786
7	22	2815
8	25	2831
9	28	2820
10	31	2832
11	34	2859
12	37	2859
13	40	2876
14	43	2872
15	45	2793
16	48	2786
17	50	2775
18	53	2760
19	56	2748
20	59	2751
21	62	2765
22	65	2762
23	67	2750
24	70	2768
25	73	2759
26	76	2749
27	78	2742
28	81	2740
29	84	2736
30	87	2731
31	90	2734
32	93	2727
33	96	2747
34	99	2740
35	102	2752
36	105	2752
37	108	2749
38	111	2744
39	113	2734
40	116	2727
41	119	2719
42	122	2721
43	125	2729
44	129	2742
45	132	2744
46	135	2742
47	138	2737
48	140	2727
49	144	2746
50	148	2763
51	151	2767
52	154	2764
53	157	2766
54	160	2764
55	163	2757
56	166	2759
57	169	2749
58	172	2743
59	174	2739
60	177	2739
61	181	2741
62	184	2744
63	187	2738
64	189	2730
65	193	2732
66	195	2725
67	198	2722
68	201	2718
69	204	2714
70	206	2707
71	209	2700
72	212	2696
73	215	2693
74	217	2686
75	221	2687
76	224	2689
77	227	2684
78	229	2679
79	232	2672
80	235	2666
81	237	2661
82	240	2658
83	243	2657
84	246	2655
85	249	2650
86	252	2645
87	254	2642
88	257	2638
89	260	2633
90	263	2630
91	266	2630
92	269	2628
93	272	2623
94	274	2618
95	277	2612
96	280	2614
97	283	2608
98	286	2605
99	289	2603
100	292	2600
101	294	2594
102	297	2590
103	300	2587
104	303	2583
105	304	2572
106	307	2567
107	311	2568
108	314	2567
109	316	2563
110	319	2559
111	322	2554
112	324	2549
113	328	2552
114	331	2550
115	334	2549
116	337	2548
117	340	2544
118	342	2539
119	345	2534
120	348	2533
121	351	2530
122	354	2528
123	358	2530
124	361	2527
125	363	2523
126	366	2519
127	369	2514
128	372	2512
129	374	2509
130	378	2509
131	381	2509
132	384	2506
133	387	2506
134	390	2505
135	394	2503
136	397	2503
137	400	2501
138	403	2500
139	406	2498
140	409	2497
141	413	2497
142	416	2494
143	419	2493
144	422	2491
145	425	2490
146	429	2490
147	432	2487
148	435	2486
149	438	2484
150	442	2485
151	445	2483
152	448	2484
153	451	2481
154	454	2479
155	457	2477
156	461	2476
157	464	2474
158	467	2470
159	470	2469
160	475	2475
161	480	2485
162	483	2484
163	487	2484
164	491	2485
165	494	2485
166	498	2484
167	501	2483
168	504	2482
169	507	2479
170	510	2475
171	513	2473
172	516	2468
173	519	2464
174	521	2459
175	524	2456
176	528	2455
177	531	2453
178	534	2450
179	537	2447
180	540	2443
181	542	2438
182	545	2435
183	548	2430
184	550	2426
185	553	2422
186	556	2418
187	559	2415
188	561	2411
189	564	2406
190	567	2403
191	570	2400
192	572	2395
193	575	2390
194	578	2386
195	580	2381
196	583	2377
197	585	2373
198	589	2371
199	591	2367
200	594	2363
201	597	2358
202	599	2354
203	602	2351
204	605	2347
205	607	2342
206	610	2338
207	614	2339
208	617	2337
209	620	2333
210	622	2328
211	625	2324
212	628	2321
213	630	2317
214	633	2313
215	636	2311
216	639	2306
217	641	2302
218	644	2300
219	647	2297
220	650	2293
221	653	2290
222	656	2286
223	658	2282
224	661	2278
225	664	2274
226	667	2272
227	670	2268
228	672	2264
229	675	2261
230	678	2257
231	680	2253
232	683	2249
233	686	2246
234	689	2243
235	691	2239
236	694	2236
237	698	2236
238	701	2232
239	703	2229
240	707	2226
241	709	2223
242	712	2219
243	715	2216
244	717	2212
245	720	2208
246	723	2205
247	726	2204
248	729	2201
249	732	2197
250	735	2194
251	738	2191
252	741	2189
253	744	2187
254	748	2186
255	751	2184
256	754	2180
257	756	2176
258	759	2172
259	761	2168
260	764	2164
261	766	2159
262	770	2159
263	774	2157
264	777	2157
265	781	2157
266	785	2155
267	788	2153
268	792	2152
269	795	2151
270	798	2149
271	803	2150
272	806	2146
273	811	2149
274	814	2146
275	817	2145
276	821	2143
277	824	2141
278	827	2138
279	830	2136
280	833	2133
281	836	2130
282	840	2128
283	842	2124
284	845	2121
285	848	2119
286	851	2114
287	854	2112
288	857	2110
289	861	2108
290	864	2106
291	866	2100
292	869	2097
293	872	2094
294	874	2090
295	876	2085
296	879	2081
297	882	2078
298	885	2075
299	888	2072
300	890	2068
301	893	2065
302	896	2062
303	898	2058
304	901	2055
305	904	2052
306	907	2049
307	910	2046
308	913	2042
309	916	2038
310	919	2036
311	921	2032
312	924	2029
313	927	2026
314	930	2023
315	932	2019
316	935	2015
317	938	2012
318	941	2009
319	944	2006
320	947	2003
321	951	2002
322	954	2000
323	957	1997
324	960	1994
325	963	1991
326	965	1987
327	968	1983
328	971	1981
329	974	1978
330	977	1975
331	980	1973
332	983	1970
333	986	1966
334	989	1963
335	992	1961
336	995	1957
337	997	1954
338	1000	1950
339	1003	1947
340	1006	1945
341	1009	1941
342	1012	1938
343	1015	1935
344	1017	1932
345	1020	1929
346	1024	1927
347	1027	1924
348	1029	1921
349	1032	1917
350	1035	1914
351	1037	1910
352	1041	1908
353	1044	1905
354	1047	1902
355	1050	1900
356	1053	1897
357	1056	1895
358	1060	1893
359	1063	1890
360	1066	1887
361	1069	1885
362	1072	1882
363	1076	1880
364	1079	1877
365	1082	1874
366	1085	1872
367	1088	1870
368	1092	1867
369	1094	1864
370	1098	1862
371	1101	1859
372	1104	1856
373	1107	1853
374	1110	1851
375	1114	1849
376	1117	1846
377	1120	1843
378	1123	1841
379	1127	1838
380	1130	1836
381	1133	1833
382	1136	1830
383	1138	1826
384	1141	1823
385	1143	1819
386	1146	1816
387	1149	1813
388	1152	1810
389	1155	1806
390	1157	1803
391	1160	1800
392	1163	1796
393	1165	1793
394	1168	1789
395	1171	1786
396	1173	1782
397	1176	1779
398	1179	1776
399	1182	1773
400	1184	1769
401	1187	1766
402	1190	1763
403	1193	1760
404	1195	1756
405	1198	1753
406	1201	1750
407	1203	1746
408	1206	1743
409	1209	1740
410	1212	1737
411	1214	1733
412	1217	1730
413	1219	1726
414	1223	1724
415	1226	1721
416	1230	1720
417	1233	1717
418	1236	1714
419	1240	1712
420	1243	1710
421	1247	1708
422	1250	1705
423	1253	1703
424	1256	1700
425	1259	1697
426	1263	1695
427	1266	1692
428	1269	1689
429	1272	1687
430	1275	1684
431	1278	1680
432	1280	1677
433	1284	1674
434	1286	1671
435	1289	1668
436	1292	1664
437	1295	1662
438	1298	1658
439	1300	1655
440	1303	1652
441	1306	1648
442	1308	1645
443	1311	1642
444	1314	1639
445	1317	1636
446	1320	1633
447	1323	1630
448	1326	1627
449	1328	1624
450	1331	1620
451	1334	1617
452	1337	1614
453	1340	1611
454	1342	1608
455	1345	1605
456	1348	1601
457	1350	1598
458	1353	1595
459	1356	1592
460	1359	1589
461	1362	1586
462	1365	1583
463	1368	1580
464	1371	1577
465	1374	1575
466	1377	1572
467	1381	1570
468	1384	1567
469	1387	1564
470	1390	1561
471	1393	1558
472	1395	1555
473	1398	1552
474	1401	1548
475	1404	1545
476	1407	1543
477	1410	1540
478	1413	1537
479	1415	1533
480	1419	1531
481	1421	1528
482	1424	1524
483	1427	1521
484	1430	1518
485	1433	1516
486	1436	1513
487	1439	1509
488	1442	1507
489	1445	1504
490	1447	1500
491	1450	1497
492	1453	1494
493	1456	1491
494	1458	1488
495	1461	1485
496	1464	1482
497	1468	1479
498	1470	1476
499	1473	1473
500	1476	1470
501	1479	1467
502	1482	1464
503	1485	1461
504	1487	1458
505	1490	1454
506	1492	1451
507	1495	1448
508	1498	1445
509	1501	1442
510	1503	1439
511	1507	1436
512	1510	1433
513	1512	1430
514	1515	1427
515	1518	1424
516	1521	1421
517	1524	1418
518	1527	1415
519	1529	1412
520	1532	1409
521	1535	1405
522	1538	1403
523	1541	1400
524	1544	1396
525	1546	1393
526	1549	1390
527	1552	1387
528	1555	1384
529	1557	1381
530	1560	1378
531	1563	1375
532	1566	1372
533	1568	1369
534	1571	1365
535	1574	1362
536	1577	1359
537	1580	1356
538	1583	1354
539	1586	1351
540	1589	1348
541	1591	1345
542	1594	1341
543	1597	1339
544	1600	1336
545	1602	1332
546	1605	1329
547	1608	1326
548	1611	1323
549	1613	1320
550	1616	1317
551	1619	1314
552	1622	1311
553	1625	1308
554	1628	1305
555	1630	1302
556	1633	1299
557	1636	1296
558	1639	1293
